date,app,campaign_id,campaign,impressions,clicks,installs,installs_ct,conversions,cost,revenue,af_complete_registration,af_purchase,channel
2023-01-12,ANDROID,ipiJcMSJAyLrHZQl,App_Install,15480.0,20.0,2.0,,4.0,5381.197695599999,21700.0,1.0,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1987219.0,3079.0,290.0,17.0,442.0,562470.88272702,642500.0,104.0,48.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,53995.0,88.0,9.0,4.0,49.0,15362.308370699995,462200.0,5.0,35.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,90168.0,192.0,15.0,4.0,29.0,24849.736057320006,29900.0,5.0,9.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,53984.0,81.0,6.0,,69.0,15361.204649459998,804300.0,3.0,60.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,45969.0,74.0,11.0,1.0,20.0,17148.74730102,75000.0,6.0,3.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,19158.0,38.0,2.0,1.0,2.0,5550.704304479999,,,,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,2304619.0,1233.0,346.0,74.0,509.0,601871.3513547598,915300.0,115.0,48.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,25284.0,104.0,5.0,1.0,36.0,12304.073065500002,412300.0,3.0,28.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,9.0,,136500.0,,9.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,76598.0,47.0,10.0,2.0,19.0,20403.210255839993,58400.0,5.0,4.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,15.0,,114000.0,2.0,13.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,53788.0,86.0,10.0,1.0,20.0,15363.98921622,58200.0,7.0,3.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,51200.0,,5.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,208283.0,717.0,33.0,10.0,47.0,60702.934868940014,116300.0,12.0,2.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,12485.0,162.0,2.0,,5.0,7484.5461863400005,8400.0,1.0,2.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,7.0,,85500.0,,7.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,30.0,,498200.0,1.0,29.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,539136.0,1869.0,128.0,12.0,185.0,242996.6749924799,191700.0,42.0,15.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,14000.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,544658.0,1965.0,175.0,26.0,273.0,246363.24832619994,513300.0,56.0,42.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,2.0,,19800.0,,2.0,moloco
